Name,TotalDecRate,ApproDate,TotalReqRate
div5802832,0.0,19630520,0.0
div5802833,0.0,19630520,0.0
div5802834,0.0,19630520,0.0
div5802835,0.0,19630520,0.0
div5802836,0.0,19630520,0.0
div5802839,0.0283,19051101,0.0283
div5802842,0.0009339,19761230,0.0009339
div5802844,0.0009339,20050912,0.0009339
div5802849,0.0,19940701,0.0
div5802850,0.0,20060803,0.0
div5802851,0.0009339,20070301,0.0009339
div5802852,0.0009339,20070301,0.0009339
div5802861,0.0009339,20060802,0.0009339
div5802865,0.0,20080401,0.0
div5802866,0.002264,20071015,0.002264
div5802868,0.0,20081001,0.0
div5802872,0.0,20070927,0.0
div5802873,0.0,20070927,0.0
div5802880,0.301112,19110414,0.301112
div5802881,0.05943,19110414,0.05943
div5802882,0.0,19110414,0.0
div5802883,0.0,19110414,0.0
div5802884,0.0,19110414,0.0
div5802887,0.0,20080919,0.0
div5802888,0.0,20091104,0.0
div5802889,0.0,20091104,0.0
div5802890,0.0,20091104,0.0
div5802907,0.0,20071004,0.0
div5802908,0.0,20071004,0.0
div5802911,0.0,20070806,0.0
div5802912,0.0,20070806,0.0
div5802914,0.0,20070806,0.0
div5802915,0.0489024,20051201,0.0489024
div5802917,0.0,20091230,0.0
div5802919,0.0003113,19700612,0.0003113
div5802926,0.0283,19940614,0.0283
div5802928,0.0,20091230,0.0
div5802929,0.0,20091230,0.0
div5802938,0.0009339,20070301,0.0009339
div5802939,0.0,20070301,0.0
div5802940,0.0,20070301,0.0
div5802941,0.0,20070301,0.0
div5802942,0.0,20070301,0.0
div5802943,0.0,20070601,0.0
div5802944,0.0,20070601,0.0
div5802945,0.0,20070301,0.0
div5802955,0.0566,19730716,0.0566
div5802956,0.0849,18870418,0.0849
div5802957,0.0009339,20090601,0.0009339
div5802958,0.0,20100701,0.0
div5802960,0.0566,20091116,0.0566
div5802961,0.00063109,20020715,0.00063109
div5802985,0.0,19980531,0.0
div5802988,0.00012735,20091029,0.00012735
div5802989,0.00283,19880501,0.00283
div5802994,0.0566,19990601,0.0566
div5802996,0.0,18900528,0.0
div5802997,0.0,18900528,0.0
div5802998,0.0,19110912,0.0
div5802999,0.0,19110912,0.0
div5803000,0.0,18840612,0.0
